"Year";"Date";"Observer";"Replicate";"Density";"Size";"Site";"Location";"Latitude";"Longitude";"Depth";"Zone";"Tax_ID";"DatasetID";"Area";"Archipelago";"Country";"Method"
2016;2016-04-12;"RA";2;40;4;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chromis margaritifer";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;5;3;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chromis margaritifer";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;5;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chromis margaritifer";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;3;16;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Scarus psittacus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;4;18;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Scarus psittacus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;22;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Scarus psittacus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;10;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Acanthurus nigrofuscus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;10;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Acanthurus nigricans";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;8;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Acanthurus nigrofuscus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;8;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Acanthurus nigricans";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;12;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Acanthurus nigrofuscus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;12;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Acanthurus nigricans";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;14;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Acanthurus nigrofuscus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;14;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Acanthurus nigricans";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;11;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Paracirrhites forsteri";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;16;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Paracirrhites forsteri";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;13;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Anampses twistii";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;11;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Anampses twistii";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;10;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Anampses twistii";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;10;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Labroides bicolor";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;22;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chlorurus sordidus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;16;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Zebrasoma scopas";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;4;14;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Zebrasoma scopas";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;13;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Zebrasoma scopas";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;45;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Fistularia commersonii";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;13;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Sargocentron microstoma";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;48;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Aulostomus chinensis";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;22;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Cephalopholis argus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;27;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Cephalopholis argus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;8;3;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Pseudocheilinus hexataenia";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;4;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Pseudocheilinus hexataenia";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;16;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Cantherhines pardalis";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;18;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chaetodon ornatissimus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;17;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chaetodon ornatissimus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;4;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Centropyge loriculus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;17;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Amanses scopas";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;16;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Amanses scopas";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;14;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Amanses scopas";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;18;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Ctenochaetus striatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;16;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Acanthurus nigrofuscus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;16;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Acanthurus nigricans";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;15;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Acanthurus nigrofuscus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;15;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Acanthurus nigricans";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;80;3;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chromis vanderbilti";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;20;4;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chromis vanderbilti";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;70;3;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chromis vanderbilti";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;17;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Gomphosus varius";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;1;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Gomphosus varius";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;13;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Gomphosus varius";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;8;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Gomphosus varius";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;4;7;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Stegastes fasciolatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;7;8;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Stegastes fasciolatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;5;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Stegastes fasciolatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;8;8;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Stegastes fasciolatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;10;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Stegastes fasciolatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;4;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Stegastes fasciolatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;12;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Thalassoma quinquevittatum";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;8;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Thalassoma quinquevittatum";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;10;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Thalassoma quinquevittatum";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;14;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Thalassoma quinquevittatum";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;1;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Thalassoma quinquevittatum";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;14;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chaetodon reticulatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;18;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Paracirrhites hemistictus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;19;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Paracirrhites hemistictus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;16;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Oxycheilinus unifasciatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;6;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Ostracion meleagris";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;4;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Ostracion meleagris";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;8;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Ostracion meleagris";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;12;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Cheilinus oxycephalus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;10;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Cheilinus oxycephalus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;11;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Halichoeres hortulanus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;12;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Exallias brevis";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;10;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Exallias brevis";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;13;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Exallias brevis";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;16;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Cephalopholis urodeta";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;13;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Cephalopholis urodeta";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;14;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Sargocentron caudimaculatum";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;11;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Anampses caeruleopunctatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;9;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Anampses caeruleopunctatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;21;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Melichthys niger";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;35;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Platybelone argalus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;30;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Scarus altipinnis";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;45;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Tylosurus crocodilus crocodilus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;5;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Labroides dimidiatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;15;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Chaetodon quadrimaculatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;10;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Paracirrhites arcatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;6;8;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Paracirrhites arcatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;12;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Paracirrhites arcatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;1;11;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Paracirrhites arcatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;5;6;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Paracirrhites arcatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;8;6;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Neocirrhites armatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;4;5;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Neocirrhites armatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;5;4;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Neocirrhites armatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
2016;2016-04-12;"RA";2;2;3;"Oroatera";"Tetiaora";-16,989474;-149,537358;8;"Outer slope";"Caracanthus maculatus";"DATA3";"Pacific";"Society Islands";"France";"Belt transect"
