"Replicate";"Year";"Country";"Site";"Latitude";"Longitude";"Depth";"Tax_ID";"Cover";"DatasetID";"Area"
"3";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Sponges";23;"DATA2";"Caribbean"
"3";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Macroalgae";12;"DATA2";"Caribbean"
"3";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Hard coral";41;"DATA2";"Caribbean"
"3";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Turf algae";17;"DATA2";"Caribbean"
"4";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Non living";45;"DATA2";"Caribbean"
"4";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Sponges";14;"DATA2";"Caribbean"
"4";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Macroalgae";15;"DATA2";"Caribbean"
"4";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Hard coral";9;"DATA2";"Caribbean"
"4";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Turf algae";17;"DATA2";"Caribbean"
"4";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Non living";21;"DATA2";"Caribbean"
"4";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Sponges";30;"DATA2";"Caribbean"
"4";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Hard coral";20;"DATA2";"Caribbean"
"4";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Turf algae";29;"DATA2";"Caribbean"
"4";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Non living";50;"DATA2";"Caribbean"
"4";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Sponges";31;"DATA2";"Caribbean"
"4";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;5;"Turf algae";19;"DATA2";"Caribbean"
"5";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Non living";16;"DATA2";"Caribbean"
"5";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Sponges";30;"DATA2";"Caribbean"
"5";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Macroalgae";29;"DATA2";"Caribbean"
"5";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Hard coral";15;"DATA2";"Caribbean"
"5";2010;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Turf algae";10;"DATA2";"Caribbean"
"5";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Non living";22;"DATA2";"Caribbean"
"5";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Sponges";37;"DATA2";"Caribbean"
"5";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Macroalgae";12;"DATA2";"Caribbean"
"5";2015;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Hard coral";29;"DATA2";"Caribbean"
"5";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Non living";25;"DATA2";"Caribbean"
"5";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Sponges";32;"DATA2";"Caribbean"
"5";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Macroalgae";6;"DATA2";"Caribbean"
"5";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Hard coral";26;"DATA2";"Caribbean"
"5";2020;"Jamaica";"Montego Bay";18,4838055555556;-77,9456944444444;10;"Turf algae";11;"DATA2";"Caribbean"
"1";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Non living";20;"DATA2";"Caribbean"
"1";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Sponges";24;"DATA2";"Caribbean"
"1";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Macroalgae";10;"DATA2";"Caribbean"
"1";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Hard coral";22;"DATA2";"Caribbean"
"1";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Turf algae";24;"DATA2";"Caribbean"
"1";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Non living";27;"DATA2";"Caribbean"
"1";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Sponges";6;"DATA2";"Caribbean"
"1";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Macroalgae";25;"DATA2";"Caribbean"
"1";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Hard coral";20;"DATA2";"Caribbean"
"1";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Turf algae";22;"DATA2";"Caribbean"
"1";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Non living";24;"DATA2";"Caribbean"
"1";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Sponges";18;"DATA2";"Caribbean"
"1";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Macroalgae";15;"DATA2";"Caribbean"
"1";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Hard coral";20;"DATA2";"Caribbean"
"1";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Turf algae";23;"DATA2";"Caribbean"
"2";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;6;"Non living";30;"DATA2";"Caribbean"
"2";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;6;"Sponges";18;"DATA2";"Caribbean"
"2";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;6;"Macroalgae";1;"DATA2";"Caribbean"
"2";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;6;"Hard coral";24;"DATA2";"Caribbean"
"2";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;6;"Turf algae";27;"DATA2";"Caribbean"
"2";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;6;"Non living";26;"DATA2";"Caribbean"
"2";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;6;"Sponges";22;"DATA2";"Caribbean"
"2";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;6;"Macroalgae";14;"DATA2";"Caribbean"
"2";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;6;"Hard coral";19;"DATA2";"Caribbean"
"2";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;6;"Turf algae";19;"DATA2";"Caribbean"
"2";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;6;"Non living";29;"DATA2";"Caribbean"
"2";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;6;"Sponges";26;"DATA2";"Caribbean"
"2";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;6;"Macroalgae";23;"DATA2";"Caribbean"
"2";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;6;"Hard coral";16;"DATA2";"Caribbean"
"2";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;6;"Turf algae";6;"DATA2";"Caribbean"
"3";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Non living";9;"DATA2";"Caribbean"
"3";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Sponges";37;"DATA2";"Caribbean"
"3";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Macroalgae";21;"DATA2";"Caribbean"
"3";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Hard coral";13;"DATA2";"Caribbean"
"3";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Turf algae";20;"DATA2";"Caribbean"
"3";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Non living";14;"DATA2";"Caribbean"
"3";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Sponges";19;"DATA2";"Caribbean"
"3";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Macroalgae";12;"DATA2";"Caribbean"
"3";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Hard coral";33;"DATA2";"Caribbean"
"3";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Turf algae";22;"DATA2";"Caribbean"
"3";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Non living";22;"DATA2";"Caribbean"
"3";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Sponges";19;"DATA2";"Caribbean"
"3";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Macroalgae";16;"DATA2";"Caribbean"
"3";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Hard coral";26;"DATA2";"Caribbean"
"3";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;8;"Turf algae";17;"DATA2";"Caribbean"
"4";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;7;"Non living";20;"DATA2";"Caribbean"
"4";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;7;"Sponges";20;"DATA2";"Caribbean"
"4";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;7;"Macroalgae";22;"DATA2";"Caribbean"
"4";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;7;"Hard coral";9;"DATA2";"Caribbean"
"4";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;7;"Turf algae";29;"DATA2";"Caribbean"
"4";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;7;"Sponges";5;"DATA2";"Caribbean"
"4";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;7;"Macroalgae";37;"DATA2";"Caribbean"
"4";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;7;"Hard coral";15;"DATA2";"Caribbean"
"4";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;7;"Turf algae";43;"DATA2";"Caribbean"
"4";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;7;"Non living";28;"DATA2";"Caribbean"
"4";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;7;"Sponges";29;"DATA2";"Caribbean"
"4";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;7;"Macroalgae";30;"DATA2";"Caribbean"
"4";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;7;"Hard coral";1;"DATA2";"Caribbean"
"4";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;7;"Turf algae";12;"DATA2";"Caribbean"
"5";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;10;"Non living";35;"DATA2";"Caribbean"
"5";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;10;"Sponges";7;"DATA2";"Caribbean"
"5";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;10;"Macroalgae";18;"DATA2";"Caribbean"
"5";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;10;"Hard coral";20;"DATA2";"Caribbean"
"5";2010;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;10;"Turf algae";20;"DATA2";"Caribbean"
"5";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;10;"Non living";27;"DATA2";"Caribbean"
"5";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;10;"Sponges";19;"DATA2";"Caribbean"
"5";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;10;"Macroalgae";18;"DATA2";"Caribbean"
"5";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;10;"Hard coral";20;"DATA2";"Caribbean"
"5";2015;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;10;"Turf algae";16;"DATA2";"Caribbean"
"5";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;10;"Non living";20;"DATA2";"Caribbean"
"5";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;10;"Sponges";22;"DATA2";"Caribbean"
"5";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;10;"Macroalgae";16;"DATA2";"Caribbean"
"5";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;10;"Hard coral";27;"DATA2";"Caribbean"
"5";2020;"Jamaica";"Discovery Bay";18,4665555555556;-77,4032777777778;10;"Turf algae";15;"DATA2";"Caribbean"
